question_index,original_fact,question,classification
0,"I was born on 1992-11-03 at 4:18 a.m. in St. Joseph’s Hospital in Tacoma, Washington.","When should I schedule my annual “birthday moment” alarm so it goes off at the exact time and place I was born—4:18 a.m. local time in Tacoma, Washington?",correct_answer
1,"I live in a third-floor walk-up apartment in the Montavilla neighborhood of Portland, Oregon, and my living-room window faces the MAX Blue Line tracks.","Given that my living-room window faces the MAX Blue Line tracks in my third-floor walk-up in Montavilla, which room in my apartment should I set up as my home office if I want the quietest spot for video calls during daytime train service?",correct_answer
2,I keep a paper calendar on my fridge and I write every appointment in green ink because my grandmother Marisol did that when I was a kid.,"When I’m adding a new doctor appointment to my fridge calendar, what color ink should I use so it stays consistent with the tradition I picked up from my grandmother Marisol?",correct_answer
3,"I I’m left-handed, but I cut vegetables with my right hand because I taught myself after slicing my left index finger while making pico de gallo on 2016-07-09.","When I’m prepping pico de gallo again, which hand should I use to cut the vegetables to avoid repeating the left index finger injury I got on 2016-07-09?",correct_answer
4,I have a rescue tuxedo cat named Pesto who was found under a food truck on SE Division in 2019 and now answers to a specific whistle I do through my teeth.,"If Pesto slips out when I open the front door, what specific sound should I make to get him to come back to me?",correct_answer
5,"I I’m mildly allergic to raw apples, but I can eat them baked, so I make apple crisp every October without itching.","When I’m planning my October dessert tradition, what apple-based dish can I make that won’t make me itch but will still let me enjoy apples?",correct_answer
6,"I can’t stand the sound of styrofoam rubbing, and I keep a small cloth bag in my backpack to avoid carrying takeout containers.","If I forget my cloth bag and the restaurant only has styrofoam takeout containers, what’s the best way for me to carry the food home without having to touch or hear the styrofoam rubbing?",correct_answer
7,"I drink my coffee black with a pinch of cinnamon, and I only buy beans from a small roaster in Portland called Nossa Familia because the owner once remembered my name.","If I’m buying beans for my next batch, should I stick with Nossa Familia from that small Portland roaster because the owner remembered my name, or try a different roaster this time?",correct_answer
8,"I I’m a morning person who does my best thinking between 5:45 and 7:15 a.m., before the street outside gets loud.","If I want to schedule my most important deep-work session tomorrow, what exact time window should I block off so I’m working during my best-thinking hours before the street outside gets loud?",correct_answer
9,"I work as a library assistant at the Holgate branch, and I’m the one who makes the monthly “weird history” display shelf.","If the Holgate branch manager asks me to put together the monthly display for next month, should I plan it as another “weird history” shelf or hand it off to someone else?",correct_answer
10,"I still have my first library card from the Puyallup Public Library, laminated and tucked into my passport sleeve.","When I’m packing for an international trip, where should I look for my laminated first Puyallup Public Library card so I can make sure it’s still tucked into my passport sleeve?",correct_answer
