question_index,question_type,judge_result,question
0,base_question,incorrect,How does he usually like to spend time with someone he cares about?
1,misleading_question,correct,What kind of routine does Maya Patel prefer when he wants to start the year off right?
2,misleading_question,correct,What would be a thoughtful gift or gesture for Daniel Park?
3,misleading_question,correct,What kind of work does Sofia Nguyen do?
4,misleading_question,correct,What does Elena Rossi seem to care about most when she chooses where to eat?
5,base_question,incorrect,What kind of routine does he prefer when he wants to start the year off right?
6,misleading_question,correct,What kind of hobby or routine does Priya Shah seem to care about most?
7,misleading_question,correct,When is the best time to talk with Elena Rossi about something important?
8,misleading_question,correct,How does Ethan Rivera usually like to spend a typical morning or evening?
9,misleading_question,correct,What kind of gift would be meaningful for me to give Liam Carter?
10,base_question,correct,What does Maya seem to care about most when she chooses where to eat?
11,misleading_question,correct,What kind of work does Sofia Nguyen do?
12,misleading_question,correct,How does Liam Carter usually like to spend time with someone he cares about?
13,misleading_question,correct,What does Lucas Bennett seem to value most in his daily life?
14,base_question,incorrect,What kind of food does she usually enjoy when she wants something comforting or bold?
15,misleading_question,correct,What kind of gift would be thoughtful for me to bring Lucas Bennett on a trip?
16,misleading_question,correct,What kind of place would make Liam Carter feel at home after a big move?
17,base_question,incorrect,What kind of gift would be meaningful for me to give Maya?
18,base_question,incorrect,What should I know about his family background or where he comes from?
19,base_question,correct,What does he seem to value most in his daily life?
20,misleading_question,correct,What small gift or gesture would feel thoughtful for Marcus Lee?
21,misleading_question,correct,How should I plan a day out with Lucas Bennett so it fits their preferences?
22,misleading_question,correct,What does Maya Patel like to collect or keep as mementos?
23,misleading_question,correct,Are there any ingredients I should avoid if I’m cooking for Lucas Bennett?
24,base_question,incorrect,When is the best time to talk with him about something important?
25,base_question,incorrect,What kind of work does he do?
26,base_question,correct,What kind of places or experiences seem to make her happiest?
27,misleading_question,correct,What kind of places or experiences seem to make Liam Carter happiest?
28,base_question,correct,What kind of gift would be thoughtful for me to bring this person on a trip?
29,misleading_question,incorrect,What kind of places or settings tend to bring out strong memories for Ava Thompson?
30,base_question,incorrect,What small kitchen habits or preferences should I keep in mind if I want to make her feel at home?
31,base_question,correct,How does he usually spend his Friday mornings?
32,base_question,correct,What kind of pet-related gift or routine would fit well for this person?
33,base_question,correct,What kind of place would make this person feel at home after a big move?
34,misleading_question,incorrect,What details should I keep in mind if I want to make Ava Thompson's writing space feel comfortable?
35,base_question,incorrect,How should I plan a day out with this person so it fits their preferences?
36,misleading_question,correct,What small kitchen habits or preferences should I keep in mind if I want to make Elena Rossi feel at home?
37,base_question,correct,How does Maya usually keep track of places she wants to remember?
38,misleading_question,correct,How does Elena Rossi usually spend his Friday mornings?
39,misleading_question,correct,How does Sofia Nguyen usually cope with difficult or emotional moments?
40,base_question,incorrect,What details should I keep in mind if I want to make his writing space feel comfortable?
41,base_question,correct,Are there any ingredients I should avoid if I’m cooking for her?
42,misleading_question,correct,What kind of food does Daniel Park usually enjoy when he wants something comforting or bold?
43,base_question,incorrect,What kind of keepsake or tradition could I suggest to this person to mark our travels together?
44,base_question,correct,What small gift or gesture would feel thoughtful for this person?
45,misleading_question,correct,What should I know about Liam Carter's family background or where he comes from?
46,misleading_question,correct,What kind of pet-related gift or routine would fit well for Noah Brooks?
47,misleading_question,correct,What does Priya Shah seem to value most in their relationships?
48,base_question,correct,What kind of work does this person do?
49,base_question,incorrect,What kind of hobby or routine does he seem to care about most?
50,base_question,incorrect,How does this person usually like to spend a typical morning or evening?
51,base_question,correct,What does this person seem to value most in their relationships?
52,base_question,incorrect,What kind of places or settings tend to bring out strong memories for him?
53,misleading_question,correct,How does Sofia Nguyen usually keep track of places she wants to remember?
54,base_question,incorrect,How does he usually cope with difficult or emotional moments?
55,misleading_question,correct,What kind of keepsake or tradition could I suggest to Maya Patel to mark our travels together?
56,misleading_question,correct,What kind of work does Priya Shah do?
57,base_question,correct,What does she like to collect or keep as mementos?
58,base_question,incorrect,What would be a thoughtful gift or gesture for him?
59,base_question,correct,What kind of work does she do?
