example_id,question_type,domain,support_set_size,question,correct_answer,model_answer,answer_correct,retrieval_status,failure_mode,distractor_contamination
memdaily-conditional-roles-0,conditional,roles,2,那个只有高中学历的人，他们现在是在哪儿上班来着？,广东深圳,你说的那个只有高中学历的人是你的上司，他现在在广东深圳上班。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-1,conditional,roles,2,那个来自重庆的人叫什么名字啊？,赵雅琳,根据提供的记忆，只提到“上司的老家是重庆”，但没有说明你问的“那个来自重庆的人”具体指的是谁，因此无法确定你指的是哪一位。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-2,conditional,roles,2,那个61岁的人是在哪里工作的呢？,广东广州,那位61岁的人在广州工作。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-3,conditional,roles,2,那个45岁的家伙叫什么名字来着？,王思琪,你说的那个45岁的家伙是你的上司，叫王思琪。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-4,conditional,roles,2,那个只上了专科的家伙，他老家是哪儿的啊？,广东深圳,他老家在广东深圳。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-5,conditional,roles,2,那谁是销售经理啊，他们职业是什么呢？,销售人员,销售经理是你的表哥，他的职业是做销售经理的，而你的上司/下属是建筑工人。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-6,conditional,roles,2,那个山西太原的家乡人，他们生日是啥时候啊？,09月13日,如果你说的是那个老家在山西太原的叔叔，他的生日是9月13号。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-7,conditional,roles,2,那个教育背景是硕士的人有多高啊？,173cm,那个学历是硕士的人身高是173厘米。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-8,conditional,roles,2,那个6月8日过生日的人，他们是做什么职位的来着？,总裁,根据记忆里提供的信息，6月8日过生日的是你的上司，但具体职位名称在这些记忆中没有提到，所以无法确定他们的职务。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-9,conditional,roles,2,那个邮箱地址是zhangjingyi0825@gzfinance.com的人，身高是多少呢？,162cm,从提供的记忆片段中无法得知这个邮箱地址对应的人的身高信息。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-10,conditional,roles,2,那个30岁的人是做什么职位的来着？,建筑工人助理,30岁的是你的表哥，他的职位是建筑工人助理。,True,full_chain_retrieved,correct_answer,False
